Timestamop,IP Address,Reactors,Output Type,Current Output
3801476613,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476672,192.168.1.200,1,VSET,1.1
3801476672,192.168.1.200,1,ISET,3
3801476672,192.168.1.200,1,VOUT,1.1
3801476672,192.168.1.200,1,IOUT,0.299
3801476672,192.168.1.200,2,VSET,1.1
3801476672,192.168.1.200,2,ISET,2.01
3801476672,192.168.1.200,2,VOUT,1.1
3801476672,192.168.1.200,2,IOUT,0.138
3801476673,192.168.1.201,1,VSET,1
3801476673,192.168.1.201,1,ISET,2.001
3801476673,192.168.1.201,1,VOUT,1
3801476673,192.168.1.201,1,IOUT,0.158
3801476673,192.168.1.201,2,VSET,1.1
3801476673,192.168.1.201,2,ISET,2.1
3801476673,192.168.1.201,2,VOUT,1.1
3801476673,192.168.1.201,2,IOUT,0.044
3801476673,192.168.1.198,1,VSET,1
3801476673,192.168.1.198,1,ISET,2
3801476673,192.168.1.198,1,VOUT,1
3801476673,192.168.1.198,1,IOUT,0.118
3801476673,192.168.1.198,2,VSET,1
3801476673,192.168.1.198,2,ISET,2
3801476673,192.168.1.198,2,VOUT,1
3801476673,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476732,192.168.1.200,1,VSET,1.1
3801476732,192.168.1.200,1,ISET,3
3801476732,192.168.1.200,1,VOUT,1.1
3801476732,192.168.1.200,1,IOUT,0.24
3801476732,192.168.1.200,2,VSET,1.1
3801476732,192.168.1.200,2,ISET,2.01
3801476732,192.168.1.200,2,VOUT,1.1
3801476732,192.168.1.200,2,IOUT,0.138
3801476733,192.168.1.201,1,VSET,1
3801476733,192.168.1.201,1,ISET,2.001
3801476733,192.168.1.201,1,VOUT,1
3801476733,192.168.1.201,1,IOUT,0.158
3801476733,192.168.1.201,2,VSET,1.1
3801476733,192.168.1.201,2,ISET,2.1
3801476733,192.168.1.201,2,VOUT,1.1
3801476733,192.168.1.201,2,IOUT,0.043
3801476733,192.168.1.198,1,VSET,1
3801476733,192.168.1.198,1,ISET,2
3801476733,192.168.1.198,1,VOUT,1
3801476733,192.168.1.198,1,IOUT,0.118
3801476733,192.168.1.198,2,VSET,1
3801476733,192.168.1.198,2,ISET,2
3801476733,192.168.1.198,2,VOUT,1
3801476733,192.168.1.198,2,IOUT,0.121
0,,0,,0
3801476792,192.168.1.200,1,VSET,1.1
3801476792,192.168.1.200,1,ISET,3
3801476792,192.168.1.200,1,VOUT,1.1
3801476792,192.168.1.200,1,IOUT,0.283
3801476792,192.168.1.200,2,VSET,1.1
3801476792,192.168.1.200,2,ISET,2.01
3801476792,192.168.1.200,2,VOUT,1.1
3801476792,192.168.1.200,2,IOUT,0.138
3801476793,192.168.1.201,1,VSET,1
3801476793,192.168.1.201,1,ISET,2.001
3801476793,192.168.1.201,1,VOUT,1
3801476793,192.168.1.201,1,IOUT,0.157
3801476793,192.168.1.201,2,VSET,1.1
3801476793,192.168.1.201,2,ISET,2.1
3801476793,192.168.1.201,2,VOUT,1.1
3801476793,192.168.1.201,2,IOUT,0.042
3801476793,192.168.1.198,1,VSET,1
3801476793,192.168.1.198,1,ISET,2
3801476793,192.168.1.198,1,VOUT,1
3801476793,192.168.1.198,1,IOUT,0.118
3801476793,192.168.1.198,2,VSET,1
3801476793,192.168.1.198,2,ISET,2
3801476793,192.168.1.198,2,VOUT,1
3801476793,192.168.1.198,2,IOUT,0.12
0,,0,,0
3801476853,192.168.1.200,1,VSET,1.1
3801476853,192.168.1.200,1,ISET,3
3801476853,192.168.1.200,1,VOUT,1.1
3801476853,192.168.1.200,1,IOUT,0.291
3801476853,192.168.1.200,2,VSET,1.1
3801476853,192.168.1.200,2,ISET,2.01
3801476853,192.168.1.200,2,VOUT,1.1
3801476853,192.168.1.200,2,IOUT,0.138
3801476853,192.168.1.201,1,VSET,1
3801476853,192.168.1.201,1,ISET,2.001
3801476853,192.168.1.201,1,VOUT,1
3801476853,192.168.1.201,1,IOUT,0.158
3801476853,192.168.1.201,2,VSET,1.1
3801476853,192.168.1.201,2,ISET,2.1
3801476853,192.168.1.201,2,VOUT,1.1
3801476853,192.168.1.201,2,IOUT,0.035
3801476854,192.168.1.198,1,VSET,1
3801476854,192.168.1.198,1,ISET,2
3801476854,192.168.1.198,1,VOUT,1
3801476854,192.168.1.198,1,IOUT,0.118
3801476854,192.168.1.198,2,VSET,1
3801476854,192.168.1.198,2,ISET,2
3801476854,192.168.1.198,2,VOUT,1
3801476854,192.168.1.198,2,IOUT,0.12
0,,0,,0
3801476913,192.168.1.200,1,VSET,1.1
3801476913,192.168.1.200,1,ISET,3
3801476913,192.168.1.200,1,VOUT,1.1
3801476913,192.168.1.200,1,IOUT,0.283
3801476913,192.168.1.200,2,VSET,1.1
3801476913,192.168.1.200,2,ISET,2.01
3801476913,192.168.1.200,2,VOUT,1.1
3801476913,192.168.1.200,2,IOUT,0.138
3801476913,192.168.1.201,1,VSET,1
3801476913,192.168.1.201,1,ISET,2.001
3801476913,192.168.1.201,1,VOUT,1
3801476913,192.168.1.201,1,IOUT,0.156
3801476913,192.168.1.201,2,VSET,1.1
3801476913,192.168.1.201,2,ISET,2.1
3801476913,192.168.1.201,2,VOUT,1.1
3801476913,192.168.1.201,2,IOUT,0.105
3801476914,192.168.1.198,1,VSET,1
3801476914,192.168.1.198,1,ISET,2
3801476914,192.168.1.198,1,VOUT,1
3801476914,192.168.1.198,1,IOUT,0.118
3801476914,192.168.1.198,2,VSET,1
3801476914,192.168.1.198,2,ISET,2
3801476914,192.168.1.198,2,VOUT,1
3801476914,192.168.1.198,2,IOUT,0.12
0,,0,,0
3801476973,192.168.1.200,1,VSET,1.1
3801476973,192.168.1.200,1,ISET,3
3801476973,192.168.1.200,1,VOUT,1.1
3801476973,192.168.1.200,1,IOUT,0.282
3801476973,192.168.1.200,2,VSET,1.1
3801476973,192.168.1.200,2,ISET,2.01
3801476973,192.168.1.200,2,VOUT,1.1
3801476973,192.168.1.200,2,IOUT,0.138
3801476973,192.168.1.201,1,VSET,1
3801476973,192.168.1.201,1,ISET,2.001
3801476973,192.168.1.201,1,VOUT,1
3801476973,192.168.1.201,1,IOUT,0.155
3801476973,192.168.1.201,2,VSET,1.1
3801476973,192.168.1.201,2,ISET,2.1
3801476973,192.168.1.201,2,VOUT,1.1
3801476973,192.168.1.201,2,IOUT,0.074
3801476974,192.168.1.198,1,VSET,1
3801476974,192.168.1.198,1,ISET,2
3801476974,192.168.1.198,1,VOUT,1
3801476974,192.168.1.198,1,IOUT,0.118
3801476974,192.168.1.198,2,VSET,1
3801476974,192.168.1.198,2,ISET,2
3801476974,192.168.1.198,2,VOUT,1
3801476974,192.168.1.198,2,IOUT,0.12
0,,0,,0
3801477033,192.168.1.200,1,VSET,1.1
3801477033,192.168.1.200,1,ISET,3
3801477033,192.168.1.200,1,VOUT,1.1
3801477033,192.168.1.200,1,IOUT,0.32
3801477033,192.168.1.200,2,VSET,1.1
3801477033,192.168.1.200,2,ISET,2.01
3801477033,192.168.1.200,2,VOUT,1.1
3801477033,192.168.1.200,2,IOUT,0.136
3801477033,192.168.1.201,1,VSET,1
3801477033,192.168.1.201,1,ISET,2.001
3801477033,192.168.1.201,1,VOUT,1
3801477033,192.168.1.201,1,IOUT,0.159
3801477033,192.168.1.201,2,VSET,1.1
3801477033,192.168.1.201,2,ISET,2.1
3801477033,192.168.1.201,2,VOUT,1.1
3801477033,192.168.1.201,2,IOUT,0.092
3801477034,192.168.1.198,1,VSET,1
3801477034,192.168.1.198,1,ISET,2
3801477034,192.168.1.198,1,VOUT,1
3801477034,192.168.1.198,1,IOUT,0.118
3801477034,192.168.1.198,2,VSET,1
3801477034,192.168.1.198,2,ISET,2
3801477034,192.168.1.198,2,VOUT,1
3801477034,192.168.1.198,2,IOUT,0.121
0,,0,,0
3801477093,192.168.1.200,1,VSET,1.1
3801477093,192.168.1.200,1,ISET,3
3801477093,192.168.1.200,1,VOUT,1.1
3801477093,192.168.1.200,1,IOUT,0.29
3801477093,192.168.1.200,2,VSET,1.1
3801477093,192.168.1.200,2,ISET,2.01
3801477093,192.168.1.200,2,VOUT,1.1
3801477093,192.168.1.200,2,IOUT,0.136
3801477093,192.168.1.201,1,VSET,1
3801477093,192.168.1.201,1,ISET,2.001
3801477094,192.168.1.201,1,VOUT,1
3801477094,192.168.1.201,1,IOUT,0.162
3801477094,192.168.1.201,2,VSET,1.1
3801477094,192.168.1.201,2,ISET,2.1
3801477094,192.168.1.201,2,VOUT,1.1
3801477094,192.168.1.201,2,IOUT,0.037
3801477094,192.168.1.198,1,VSET,1
3801477094,192.168.1.198,1,ISET,2
3801477094,192.168.1.198,1,VOUT,1
3801477094,192.168.1.198,1,IOUT,0.118
3801477094,192.168.1.198,2,VSET,1
3801477094,192.168.1.198,2,ISET,2
3801477094,192.168.1.198,2,VOUT,1
3801477094,192.168.1.198,2,IOUT,0.121
0,,0,,0
3801477153,192.168.1.200,1,VSET,1.1
3801477153,192.168.1.200,1,ISET,3
3801477153,192.168.1.200,1,VOUT,1.1
3801477153,192.168.1.200,1,IOUT,0.226
3801477153,192.168.1.200,2,VSET,1.1
3801477153,192.168.1.200,2,ISET,2.01
3801477153,192.168.1.200,2,VOUT,1.1
3801477153,192.168.1.200,2,IOUT,0.137
3801477154,192.168.1.201,1,VSET,1
3801477154,192.168.1.201,1,ISET,2.001
3801477154,192.168.1.201,1,VOUT,1
3801477154,192.168.1.201,1,IOUT,0.161
3801477154,192.168.1.201,2,VSET,1.1
3801477154,192.168.1.201,2,ISET,2.1
3801477154,192.168.1.201,2,VOUT,1.1
3801477154,192.168.1.201,2,IOUT,0.036
3801477154,192.168.1.198,1,VSET,1
3801477154,192.168.1.198,1,ISET,2
3801477154,192.168.1.198,1,VOUT,1
3801477154,192.168.1.198,1,IOUT,0.118
3801477154,192.168.1.198,2,VSET,1
3801477154,192.168.1.198,2,ISET,2
3801477154,192.168.1.198,2,VOUT,1
3801477154,192.168.1.198,2,IOUT,0.121
0,,0,,0
3801477213,192.168.1.200,1,VSET,1.1
3801477213,192.168.1.200,1,ISET,3
3801477213,192.168.1.200,1,VOUT,1.1
